N,M,#STREAM,BLOCK,ZERO/BEST,ZERO/HYBRID,ZERO/LOWHYBR,ZERO/DATAPAR
3584,10000,56,64,1.000686585213007,0.5618376293423097,0.6350337945025046,0.4155559330448401
3584,500000,3,64,1.000174182222107,0.47409123598858305,0.7223980577167136,0.4024712657105581
3584,1000000,56,64,1.0000397271053458,0.5010754705063842,0.661225582558357,0.4024244175679581
7168,10000,3,64,2.9860775409509697,1.5193841116995668,1.7098085432757388,1.2018993582071726
7168,500000,56,64,2.997395904884891,1.4519193941697264,1.9510329149742864,1.207327360413956
7168,1000000,112,64,2.9972004573298716,1.502878718759664,1.9419939816085476,1.2073134101218852
14336,10000,64,64,6.870883713987161,1.6238607929313376,3.091553280842539,2.814285657510221
14336,500000,64,64,6.976289859924371,1.7247546200726027,3.6730361852752753,2.8183319316779047
14336,1000000,112,64,6.972738154029011,1.7276630195113039,3.6906941619509843,2.817019353589199
14336,10000,56,256,6.890202396416373,3.110019873713869,1.6860551915136979,2.822242189811416
14336,500000,112,256,6.995013019445417,3.3528858337372047,1.9239229357813534,2.821305649864637
14336,1000000,56,256,6.992671981504426,3.434160786384573,1.946667678587404,2.8203661801648674
28672,10000,56,256,11.095195573428068,4.961534668510773,9.432074182069329,5.657129691162786
28672,500000,112,256,11.374516006767854,5.345311312199285,12.28249893334296,5.645942104188851
28672,1000000,56,256,11.376720691789181,5.628215025502612,12.362912997818887,5.646455695969017
57344,10000,112,256,10.773846612937415,4.537378276048219,16.895141608828673,11.286086308613488
57344,500000,112,256,10.850726446038811,4.927651562002387,19.61241187538576,11.291339957481185
57344,1000000,112,256,10.86824113896989,4.958770193681129,19.645443216037396,11.2918528930183
28672,10000,56,512,13.594722097069512,6.099138481371484,5.797204126463253,6.9181414478949605
28672,500000,64,512,13.97627111096818,6.758293748153323,6.027883523818466,6.939675953478117
28672,1000000,56,512,13.9793573228363,6.915418820368279,6.013491684589759,6.940631373319901
57344,10000,56,512,13.30008024013995,6.207153587876499,5.77148018573882,6.92310932192268
57344,500000,112,512,13.41431374900127,6.579828981986274,5.899088551183764,6.937405659059631
57344,1000000,112,512,13.414415299511651,6.473097580887725,5.937678349020165,6.935993885763222
114688,10000,112,512,13.694653139896314,6.2007391298728605,27.646272078804348,27.888561399043155
114688,500000,56,512,13.685062483182492,6.583999790306327,34.49207145984922,27.7961473153302
114688,1000000,56,512,13.682866772504868,6.666300455969186,34.50280703454955,27.79264422753261
57344,10000,112,1024,27.54262722474159,13.204870387325954,27.864316982667912,28.826072181850098
57344,500000,64,1024,27.961103670759744,13.759018874512112,28.20226555448387,27.978293299628497
57344,1000000,56,1024,27.96397335831567,13.672330548933182,28.184362944818314,27.97143710117721
114688,10000,112,1024,27.53588707553629,12.598716168251775,27.709563110471716,27.90419736970525
114688,500000,64,1024,27.951732310507484,13.243344249326716,24.42688039636051,27.954666631469316
114688,1000000,64,1024,27.954586616650754,13.229707594693048,24.465097910683532,27.959264188684056
229376,10000,56,1024,28.106906526434692,12.671852730201964,23.968783133180988,28.274541207977016
229376,500000,56,1024,28.140303289159657,13.360018422392008,24.27737560902801,28.14256384429885
229376,1000000,56,1024,40.103939762962455,25.751495538623352,46.58329160595721,54.18792352783039
N,M,BLOCK,ZERO STREAMING,BEST STREAM,BEST STREAM LOW,HYBRID(64),DATAPAR(1024)
3584,10000,64,24.21851666666667,24.2019,38.137366666666665,43.1059,58.279799999999994
3584,500000,64,1091.0016666666668,1090.8116666666665,1510.25,2301.2483333333334,2710.7566666666667
3584,1000000,64,2181.6366666666668,2181.5499999999997,3299.383333333333,4353.908333333333,5421.233333333334
7168,10000,64,65.74501666666667,22.01718333333333,38.451683333333335,43.270833333333336,54.70093333333333
7168,500000,64,3272.7666666666664,1091.8700000000001,1677.4533333333331,2254.096666666667,2710.7533333333336
7168,1000000,64,6544.956666666668,2183.69,3370.2250000000004,4354.946666666666,5421.091666666667
14336,10000,64,153.42683333333332,22.330000000000002,49.62775,94.48275,54.517149999999994
14336,500000,64,7640.723333333334,1095.2416666666666,2080.2200000000003,4430.035000000001,2711.08
14336,1000000,64,15272.400000000001,2190.3016666666667,4138.083333333333,8839.918333333335,5421.474999999999
14336,10000,256,154.53300000000002,22.42793333333334,91.65358333333334,49.68875,54.7554
14336,500000,256,7656.158333333333,1094.5166666666667,3979.4516666666664,2283.4533333333334,2713.693333333333
14336,1000000,256,15304.383333333333,2188.6316666666667,7861.836666666666,4456.513333333333,5426.381666666666
28672,10000,256,307.73116666666664,27.735533333333336,32.62603333333333,62.023383333333335,54.39705
28672,500000,256,15305.283333333333,1345.5766666666666,1246.1050000000002,2863.31,2710.846666666667
28672,1000000,256,30608.099999999995,2690.4150000000004,2475.7999999999997,5438.331666666666,5420.763333333333
57344,10000,256,614.9758333333333,57.08043333333334,36.39956666666667,135.53549999999998,54.489733333333334
57344,500000,256,30610.333333333332,2821.0400000000004,1560.7633333333333,6211.951666666667,2710.9566666666665
57344,1000000,256,61216.18333333333,5632.575000000001,3116.0499999999997,12345.033333333333,5421.27
28672,10000,512,378.1761666666667,27.817866666666664,65.23423333333334,62.004850000000005,54.66441666666666
28672,500000,512,18832.233333333334,1347.4433333333334,3124.1866666666665,2786.5366666666664,2713.705
28672,1000000,512,37661.71666666667,2694.0950000000003,6262.87,5446.05,5426.266666666666
57344,10000,512,756.1120000000001,56.85018333333333,131.00833333333335,121.813,109.21566666666666
57344,500000,512,37663.95,2807.743333333334,6384.706666666668,5724.153333333333,5429.111666666667
57344,1000000,512,75324.20000000001,5615.168333333334,12685.800000000001,11636.5,10859.9
114688,10000,512,1519.2916666666667,110.94049999999999,54.95466666666667,245.01783333333333,54.477233333333324
114688,500000,512,75355.63333333332,5506.415,2184.7233333333334,11445.266666666665,2711.0099999999998
114688,1000000,512,150684.16666666666,11012.616666666667,4367.301666666667,22603.866666666665,5421.7283333333335
57344,10000,1024,1579.2166666666665,57.337183333333336,56.67523333333333,119.59349999999999,54.78431666666666
57344,500000,1024,75926.23333333332,2715.423333333333,2692.2033333333334,5518.288333333334,2713.7549999999997
57344,1000000,1024,151783.83333333334,5427.835,5385.391666666666,11101.533333333333,5426.386666666667
114688,10000,1024,3049.668333333333,110.7525,110.05833333333334,242.06183333333334,109.29066666666665
114688,500000,1024,151785.5,5430.2716666666665,6213.871666666666,11461.266666666668,5429.701666666667
114688,1000000,1024,303552.3333333333,10858.766666666666,12407.566666666668,22944.75,10856.949999999999
229376,10000,1024,6137.658333333333,218.36833333333334,256.0688333333333,484.3536666666667,217.07366666666664
229376,500000,1024,303619.3333333333,10789.483333333334,12506.266666666665,22725.966666666664,10788.616666666667
229376,1000000,1024,1169090.0,29151.5,25096.766666666666,45398.916666666664,21574.733333333334
