#IMG,SIZE,ZERO/THREE,,,,,,
64,128,1.0395579163,,,,,,
256,128,1.1235113007,,,,,,
1024,128,1.16862131,,,,,,
64,256,1.1190220182,,,,,,
256,256,1.1735144235,,,,,,
1024,256,1.139771221,,,,,,
64,512,1.0933714882,,,,,,
256,512,1.1249147611,,,,,,
1024,512,1.1383075092,,,,,,
#IMG,SIZE,ZERO/CORES,,,,,,
64,128,1.0854782554,,,,,,
256,128,1.0888626089,,,,,,
1024,128,1.1666710008,,,,,,
64,256,1.1429205374,,,,,,
256,256,1.1623181167,,,,,,
1024,256,1.1538587156,,,,,,
64,512,1.1260860286,,,,,,
256,512,1.1770127145,,,,,,
1024,512,1.1292384037,,,,,,
#IMG,SIZE,CORES/DATAPAR,,,,,,
2,1024,0.7683504907,,,,,,
2,2048,0.7668622026,,,,,,
1,4096,0.7456944834,,,,,,
1,8192,0.0875355997,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Tesla M40,,Tesla P100,
,,,#IMG,SIZE,ZERO/THREE,ZERO/CORES,ZERO/THREE,ZERO/CORES
,,,64,128,1.0396,1.0855,1.4805,1.3666
,,,256,128,1.1235,1.0889,1.4723,1.3570
,,,1024,128,1.1686,1.1667,1.4801,1.4046
,,,64,256,1.1190,1.1429,1.1818,1.2342
,,,256,256,1.1735,1.1623,1.1496,1.1527
,,,1024,256,1.1398,1.1539,1.2229,1.1520
,,,64,512,1.0934,1.1261,1.2069,1.1069
,,,256,512,1.1249,1.1770,1.1409,1.0958
,,,1024,512,1.1383,1.1292,1.1346,1.0781
