LOWSTREAM,,,,,,,,
EVENTS,CHRONO,N SIZE,M ITERS,CHUNK,N STREAMS,BLOCK,GRID,
35.6340666667,173.0646666667,24576,10000,1024,48,1024,1,
1204.41,1307.3366666667,24576,400000,1024,48,1024,1,
2379.3233333333,2469.8133333333,24576,800000,1024,48,1024,1,
70.2144666667,197.369,49152,10000,1024,48,1024,1,
2380.3433333333,2484.7666666667,49152,400000,1024,48,1024,1,
4734.9566666667,4828.9166666667,49152,800000,1024,48,1024,1,
135.2063333333,231.0656666667,98304,10000,1024,48,1024,1,
4741.3866666667,4865.4066666667,98304,400000,1024,48,1024,1,
9537.72,9660.9866666667,98304,800000,1024,48,1024,1,
282.214,422.5326666667,196608,10000,1024,48,1024,1,
9893.6566666667,9992.63,196608,400000,1024,48,1024,1,
19760.9333333333,19856.7,196608,800000,1024,48,1024,1,
519.2003333333,655.951,393216,10000,1024,48,1024,1,
18951.0666666667,19084.7666666667,393216,400000,1024,48,1024,1,
38050.7333333333,38189.0333333333,393216,800000,1024,48,1024,1,
969.7603333333,1061.64,786432,10000,1024,48,1024,1,
37473.3333333333,37566.0666666667,786432,400000,1024,48,1024,1,
74944.7333333333,75069.3333333333,786432,800000,1024,48,1024,1,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Str 48,str0/str48,,,zero str 0
,,24576,10000,35.6340666667,19.4686451729,,,693.747
,,24576,400000,1204.41,22.794507961,,,27453.9333333333
,,24576,800000,2379.3233333333,23.0691359028,,,54888.9333333333
,,49152,10000,70.2144666667,19.68772817,,,1382.3633333333
,,49152,400000,2380.3433333333,23.0645859211,,,54901.6333333333
,,49152,800000,4734.9566666667,23.1857806513,,,109783.666666667
,,98304,10000,135.2063333333,20.4526168646,,,2765.3233333333
,,98304,400000,4741.3866666667,23.1576416463,,,109799.333333333
,,98304,800000,9537.72,23.0194428018,,,219553
,,196608,10000,282.214,19.5913739219,,,5528.96
,,196608,400000,9893.6566666667,22.1949282655,,,219589
,,196608,800000,19760.9333333333,22.2204922844,,,439097.666666667
,,393216,10000,519.2003333333,21.2989719447,,,11058.4333333333
,,393216,400000,18951.0666666667,23.1750719397,,,439192.333333333
,,393216,800000,38050.7333333333,23.0795814711,,,878195
,,786432,10000,969.7603333333,22.8021287734,,,22112.6
,,786432,400000,37473.3333333333,23.4415495463,,,878433
,,786432,800000,74944.7333333333,23.43558053,,,1756373.33333333
