MATMULSQUARE,,,,,,,,,,,,,,,,,,
EVENTS,CHRONO,NUM MAT,MAT SIZE,N STREAMS,BLOCK,GRID,,,,,,,,,,,,
172.6996666667,365.3646666667,1,1280,0,2,32,,,,,,,,,,,,
456.3713333333,742.8026666667,1,1792,0,2,32,,,,,,,,,,,,
1315.6466666667,1831.5333333333,1,2560,0,2,32,,,,,,,,,,,,
3590.4366666667,4430.9033333333,1,3584,0,2,32,,,,,,,,,,,,
10437.7,12174.8666666667,1,5120,0,2,32,,,,,,,,,,,,
28711,31945.1666666667,1,7168,0,2,32,,,,,,,,,,,,
17.4869666667,101.2417666667,100,64,0,2,32,,,,,,,,,,,,
34.8778333333,154.6016666667,196,64,0,2,32,,,,,,,,,,,,
70.9718,263.2043333333,400,64,0,2,32,,,,,,,,,,,,
139.3896666667,450.5036666667,784,64,0,2,32,,,,,,,,,,,,
36.2095,227.9926666667,100,128,0,2,32,,,,,,,,,,,,
74.2685666667,356.029,196,128,0,2,32,,,,,,,,,,,,
147.7336666667,662.8106666667,400,128,0,2,32,,,,,,,,,,,,
299.138,1263.6866666667,784,128,0,2,32,,,,,,,,,,,,
186.3913333333,741.5103333333,100,256,0,2,32,,,,,,,,,,,,
368.6813333333,1349.18,196,256,0,2,32,,,,,,,,,,,,
786.7536666667,2575.1233333333,400,256,0,2,32,,,,,,,,,,,,
1603.4933333333,5012,784,256,0,2,32,,,,,,,,,,,,
1256.4,3133.9366666667,100,512,0,2,32,,,,,,,,,,,,
2479.4333333333,5863.4233333333,196,512,0,2,32,,,,,,,,,,,,
5162.6333333333,11396.3333333333,400,512,0,2,32,,,,,,,,,,,,
9791.98,22532.2666666667,784,512,0,2,32,,,,,,,,,,,,
9075.22,15685.9,100,1024,0,2,32,,,,,,,,,,,,
17849.5666666667,30189.2666666667,196,1024,0,2,32,,,,,,,,,,,,
36441.3666666667,63294.4333333333,400,1024,0,2,32,,,,,,,,,,,,
72396.8666666667,122179.333333333,784,1024,0,2,32,,,,,,,,,,,,
5.2046933333,107.4963333333,100,64,3,2,32,,,,,,,,,,,,
10.7422333333,127.3953333333,196,64,3,2,32,,,,,,,,,,,,
23.9773,203.4886666667,400,64,3,2,32,,,,,,,,,,,,
47.1808333333,363.8103333333,784,64,3,2,32,,,,,,,,,,,,
21.5294333333,220.521,100,128,3,2,32,,,,,,,,,,,,
41.9395,309.094,196,128,3,2,32,,,,,,,,,,,,
74.5879333333,591.727,400,128,3,2,32,,,,,,,,,,,,
143.3123333333,1136.7566666667,784,128,3,2,32,,,,,,,,,,,,
129.985,618.9766666667,100,256,3,2,32,,,,,,,,,,,,
254.2516666667,1192.7,196,256,3,2,32,,,,,,,,,,,,
518.3303333333,2478.42,400,256,3,2,32,,,,,,,,,,,,
1016.28,4677.1166666667,784,256,3,2,32,,,,,,,,,,,,
1033.9166666667,2961.02,100,512,3,2,32,,,,,,,,,,,,
2027.17,5549.3466666667,196,512,3,2,32,,,,,,,,,,,,
4136.54,11321.8333333333,400,512,3,2,32,,,,,,,,,,,,
8113.0933333333,21264.4,784,512,3,2,32,,,,,,,,,,,,
8273.1066666667,15063.8333333333,100,1024,3,2,32,,,,,,,,,,,,
16194.1,29534.2333333333,196,1024,3,2,32,,,,,,,,,,,,
33041.1,58959.9666666667,400,1024,3,2,32,,,,,,,,,,,,
64763.6666666667,115994.666666667,784,1024,3,2,32,,,,,,,,,,,,
2.7392066667,109.2933333333,100,64,24,2,32,,,,,,,,,,,,
5.0942833333,139.295,196,64,24,2,32,,,,,,,,,,,,
10.0277666667,210.1103333333,400,64,24,2,32,,,,,,,,,,,,
19.8252666667,337.5196666667,784,64,24,2,32,,,,,,,,,,,,
19.3538333333,215.8133333333,100,128,24,2,32,,,,,,,,,,,,
37.8560666667,350.9873333333,196,128,24,2,32,,,,,,,,,,,,
65.6809333333,626.6343333333,400,128,24,2,32,,,,,,,,,,,,
128.317,1104.5466666667,784,128,24,2,32,,,,,,,,,,,,
130.0533333333,630.15,100,256,24,2,32,,,,,,,,,,,,
254.281,1242.4533333333,196,256,24,2,32,,,,,,,,,,,,
518.615,2404.89,400,256,24,2,32,,,,,,,,,,,,
1016.55,4493.72,784,256,24,2,32,,,,,,,,,,,,
1034.0666666667,2769.74,100,512,24,2,32,,,,,,,,,,,,
2027.2866666667,5075.97,196,512,24,2,32,,,,,,,,,,,,
4136.7066666667,10185.4666666667,400,512,24,2,32,,,,,,,,,,,,
8110.9966666667,19576.6666666667,784,512,24,2,32,,,,,,,,,,,,
8262.7533333333,14405.6333333333,100,1024,24,2,32,,,,,,,,,,,,
16202.4666666667,27876.4666666667,196,1024,24,2,32,,,,,,,,,,,,
33059.2666666667,55996.2333333333,400,1024,24,2,32,,,,,,,,,,,,
64786.5333333333,109893.333333333,784,1024,24,2,32,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Data ,ParallelP100,,,,,Data ,ParallelM40,,,,100,64,2.7392,,
Mat Number,Mat Order,56 Streams,Event Time,Mat Order,Mat Number,Mat Order,Zero Streams,24 Streams,Event Time,Mat Order,DataPar/Str,,,196,64,5.0943,,
225,128,20.8758,289.4027,1920,100,128,36.2095,19.3538,172.6997,1280,8.9232796259,,,400,64,10.0278,172.6997,1280
441,128,40.5783,898.0440,2688,196,128,74.2686,37.8561,456.3713,1792,12.0554345318,,,784,64,19.8253,456.3713,1792
900,128,74.6636,2256.0733,3840,400,128,147.7337,65.6809,1315.6467,2560,20.0308765405,,,,,,,
1764,128,145.4767,7063.8233,5376,784,128,299.1380,128.3170,3590.4367,3584,27.9809897883,,,,,,,
225,256,147.7650,2256.0733,3840,100,256,186.3913,130.0533,1315.6467,2560,10.1162087349,,,,,,,
441,256,288.5343,7063.8233,5376,196,256,368.6813,254.2810,3590.4367,3584,14.119956531,,,,,,,
900,256,588.9643,17878.3667,7680,400,256,786.7537,518.6150,10437.7000,5120,20.1261051069,,,,,,,
1764,256,1153.7333,56190.3667,10752,784,256,1603.4933,1016.5500,28711.0000,7168,28.2435689341,,,,,,,
225,512,1173.3200,17878.3667,7680,100,512,1256.4000,1034.0667,10437.7000,5120,10.0938366321,,,,,,,
441,512,2298.3967,56190.3667,10752,196,512,2479.4333,2027.2867,28711.0000,7168,14.1622793027,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
900,512,4690.9633,,,,,,,,,,,,,,,,
1764,512,9202.3333,,,,,,,,,,,,,,,,
225,1024,9371.0433,,,,,,,17.4869666667,100,64,,,,,,,
441,1024,18374.7000,,,,,,,34.8778333333,196,64,,,,,,,
900,1024,37474.7000,,,,,,,70.9718,400,64,,,,,,,
1764,1024,73348.3333,,,,,,,139.3896666667,784,64,,,,,,,
225,2048,74971.6667,,,,,,,36.2095,100,128,,,,,,,
441,2048,146175.6667,,,,,,,74.2685666667,196,128,,,,,,,
900,2048,285955.6667,,,,,,,147.7336666667,400,128,,,,,,,
1764,2048,559425.0000,,,,,,,299.138,784,128,,,,,,,
,,,,,,,,,186.3913333333,100,256,,,,,,,
,,,,,,,,,368.6813333333,196,256,,,,,,,
,,,,,,,,,786.7536666667,400,256,,,,,,,
,,,,,,,,,1603.4933333333,784,256,,,,,,,
,,,,,400,512,4136.7067,,1256.4,100,512,,,,,,,
,,,,,784,512,8110.9967,,2479.4333333333,196,512,,,,,,,
,,,,,100,1024,8262.7533,,5162.6333333333,400,512,,,,,,,
,,,,,196,1024,16202.4667,,9791.98,784,512,,,,,,,
,,,,,400,1024,33059.2667,,9075.22,100,1024,,,,,,,
,,,,,784,1024,64786.5333,,17849.5666666667,196,1024,,,,,,,
,,,,,,,,,36441.3666666667,400,1024,,,,,,,
,,,,,,,,,72396.8666666667,784,1024,,,,,,,
