N,M,ZERO/THREE,,,,,,
24576,10000,2.9760669559,,,,,,
24576,400000,2.963526678,,,,,,
24576,800000,2.963093323,,,,,,
49152,10000,2.9678035725,,,,,,
49152,400000,2.9627286513,,,,,,
49152,800000,2.9635538423,,,,,,
98304,10000,2.9701870337,,,,,,
98304,400000,2.9631955208,,,,,,
98304,800000,2.9628165198,,,,,,
196608,10000,2.967968894,,,,,,
196608,400000,2.963001111,,,,,,
196608,800000,2.9630388573,,,,,,
393216,10000,2.96789425,,,,,,
393216,400000,2.9634043759,,,,,,
393216,800000,2.9633343494,,,,,,
786432,10000,2.9685393309,,,,,,
786432,400000,2.9642241307,,,,,,
786432,800000,2.9636262395,,,,,,
N,M,ZERO/CORES,,,,,,
24576,10000,22.6659892706,,,,,,
24576,400000,23.2913103479,,,,,,
24576,800000,23.3033126528,,,,,,
49152,10000,22.9595152863,,,,,,
49152,400000,23.2766532362,,,,,,
49152,800000,23.2870774966,,,,,,
98304,10000,23.1708999704,,,,,,
98304,400000,23.2866301836,,,,,,
98304,800000,23.2924743685,,,,,,
196608,10000,23.2066451486,,,,,,
196608,400000,23.2864858445,,,,,,
196608,800000,23.2894050589,,,,,,
393216,10000,23.251998217,,,,,,
393216,400000,23.2909259966,,,,,,
393216,800000,23.2907962552,,,,,,
786432,10000,23.2887518339,,,,,,
786432,400000,23.2932575659,,,,,,
786432,800000,23.2800997456,,,,,,
N,M,CORES/DATAPAR,,,,,,
24576,10000,0.8764152402,,,,,,
24576,400000,1.0000084839,,,,,,
24576,800000,1.0011830731,,,,,,
49152,10000,1.0369945528,,,,,,
49152,400000,1.0239758389,,,,,,
49152,800000,1.0246188219,,,,,,
98304,10000,1.0643546402,,,,,,
98304,400000,1.0579940598,,,,,,
98304,800000,1.0578611331,,,,,,
196608,10000,0.9849029148,,,,,,
196608,400000,0.9794717092,,,,,,
196608,800000,0.9790996256,,,,,,
393216,10000,1.077123658,,,,,,
393216,400000,1.071928814,,,,,,
393216,800000,1.0714607091,,,,,,
786432,10000,1.0733105244,,,,,,
786432,400000,1.0770684422,,,,,,
786432,800000,1.0717083445,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,10000,57344,5.3374133255,44.1227673884,24576,2.9760669559,22.6659892706
,,400000,57344,5.2463357776,45.7216668878,24576,2.963526678,23.2913103479
,,800000,57344,5.2215397871,46.1960486057,24576,2.963093323,23.3033126528
,,10000,114688,5.3662993229,45.1766638744,49152,2.9678035725,22.9595152863
,,400000,114688,4.0694041423,35.9606601438,49152,2.9627286513,23.2766532362
,,800000,114688,2.9474815429,25.9848966023,49152,2.9635538423,23.2870774966
,,10000,229376,2.9882968819,25.0616448212,98304,2.9701870337,23.1708999704
,,400000,229376,2.9866237311,25.993149739,98304,2.9631955208,23.2866301836
,,800000,229376,2.9866715986,25.9750817514,98304,2.9628165198,23.2924743685
,,10000,458752,2.9883344546,25.4395309567,196608,2.967968894,23.2066451486
,,400000,458752,2.9866699381,25.9550676224,196608,2.963001111,23.2864858445
,,800000,458752,1.9404104928,25.9638186294,196608,2.9630388573,23.2894050589
,,10000,917504,1.6359727667,25.2319933481,393216,2.96789425,23.251998217
,,400000,917504,1.6896311208,25.9756067782,393216,2.9634043759,23.2909259966
,,800000,917504,2.8617683613,25.9764018847,393216,2.9633343494,23.2907962552
,,10000,1835008,2.9981707377,25.3112822191,786432,2.9685393309,23.2887518339
,,400000,1835008,2.9967939885,25.9841547566,786432,2.9642241307,23.2932575659
,,800000,1835008,2.6546484109,26.313602621,786432,2.9636262395,23.2800997456
