N,M,ZERO/THREE
57344,10000,2.8039302582135406
57344,400000,2.7998616365323477
57344,800000,2.8003592281538197
114688,10000,2.9506918265087663
114688,400000,2.947301188500164
114688,800000,2.9474195920027024
229376,10000,2.952978875458109
229376,400000,3.409893363159669
229376,800000,6.076545238175554
458752,10000,6.183211978009043
458752,400000,5.633672785895119
458752,800000,6.084988850659863
917504,10000,6.009896266873067
917504,400000,6.089591037235016
917504,800000,5.578137673070852
1835008,10000,3.00705950151276
1835008,400000,5.1783476495086775
1835008,800000,2.820333435142647
N,M,ZERO/CORES
57344,10000,26.71797626022891
57344,400000,27.90988900321825
57344,800000,27.9304129641601
114688,10000,27.674794252138906
114688,400000,28.499978108397727
114688,800000,28.518545279944625
229376,10000,25.605778424855057
229376,400000,32.77202540283332
229376,800000,58.617941913264836
458752,10000,58.32414998971475
458752,400000,58.12244075673938
458752,800000,58.46636637728334
917504,10000,52.874882975545596
917504,400000,54.5227761460191
917504,800000,50.40219163699465
1835008,10000,27.164374012864165
1835008,400000,45.949801395878374
1835008,800000,27.163909039946322
N,M,CORES/DATAPAR
57344,10000,0.9323566650926068
57344,400000,1.0009422798790375
57344,800000,1.0005609406261797
114688,10000,1.0255068389588422
114688,400000,1.0009781597169864
114688,800000,1.0006791998317022
229376,10000,1.116232453751186
229376,400000,1.0106375313591065
229376,800000,0.5869710812510337
458752,10000,0.5421490236689607
458752,400000,0.531789603241934
458752,800000,0.5373607891153196
917504,10000,0.5714954940842925
917504,400000,0.5727786682555485
917504,800000,0.5721151146319383
1835008,10000,0.5632831885567081
1835008,400000,0.5794788981122098
1835008,800000,0.5746440509300579
