N,M,#STREAM,BLOCK,ZERO/BEST,ZERO/DATAPAR
114688,10000,112,256,11.190335555795128,11.246072499484981
114688,500000,56,256,11.171718366249692,11.25287010853531
114688,1000000,64,256,11.19914382881465,11.253093318432185
229376,10000,56,256,11.250151934556913,11.32659022043391
229376,500000,56,256,11.219478225734862,11.325735103266712
229376,1000000,56,256,11.21434368514817,11.325834068530128
458752,10000,64,256,10.986631993247494,11.351092933585477
458752,500000,64,256,10.963118109835845,11.348720163729869
458752,1000000,112,256,10.959690839255252,11.34876136569476
917504,10000,112,256,11.191917478921427,11.3600051871694
N,M,BLOCK,ZERO STREAMING,BEST STREAM,DATAPAR(1024)
114688,10000,256,1228.2866666666666,109.76316666666666,109.21916666666665
114688,500000,256,61089.6,5468.236666666667,5428.801666666666
114688,1000000,256,122171.83333333333,10909.033333333335,10856.733333333334
229376,10000,256,2452.775,218.02150000000003,216.55016666666666
229376,500000,256,122177.5,10889.766666666668,10787.6
229376,1000000,256,244343.16666666666,21788.45,21573.966666666664
458752,10000,256,4904.998333333333,446.45149999999995,432.1168333333333
458752,500000,256,244353.83333333334,22288.716666666664,21531.400000000005
458752,1000000,256,488687.5,44589.53333333333,43060.86666666667
917504,10000,256,9811.29,876.6406666666668,863.6695
